DATE, BTC_HASH, BTC_ENTR, LTC_HASH, LTC_ENTR
14/02/2018,23823290493000000000,73.59782518657778,140330762821260,54.224643325130906
15/02/2018,21105648119953000000,73.42308162613799,136308415046900,54.182686649086136
16/02/2018,21285807122812000000,73.43534428913671,139638692446390,54.21751077182787
17/02/2018,23259660594709000000,73.56328253849438,140240157727870,54.22371154272665
18/02/2018,22024104059008000000,73.48453582483214,146911179583765,54.290756204577356
19/02/2018,22950458188796000000,73.54397544961381,141815781182600,54.23983010274501
20/02/2018,21116350680618000000,73.42381302360687,141315817416280,54.23473497383978
21/02/2018,24813516968633000000,73.65657872490254,142417018477330,54.245933573971925
22/02/2018,24291385343900000000,73.62589726294182,145161496447110,54.273470853442504
23/02/2018,21955367791169000000,73.48002619571142,147019560121760,54.29182012917359
24/02/2018,21027363617047000000,73.41772047157377,143189930525840,54.253742061163464
25/02/2018,24306268031908000000,73.62678089329695,142854404462550,54.25035753680556
26/02/2018,22182150828854000000,73.4948517524388,140955848365860,54.23105535658879
27/02/2018,23576969475581000000,73.58283078319467,148075784805970,54.30214775139784
28/02/2018,24900731181445000000,73.66164059935824,144823986427970,54.27011258704997
01/03/2018,22442878748396000000,73.51171023568664,143452526092410,54.25638539203707
02/03/2018,24158134090195000000,73.61796152240706,147645651213060,54.29795088256489
03/03/2018,25219329806152000000,73.6799824304736,151988954431130,54.33977850070322
04/03/2018,24194695662757000000,73.62014328549081,143207989542060,54.25392400140362
05/03/2018,25014744615770000000,73.66823121678601,156777693330480,54.38453232320097
06/03/2018,24572333276152000000,73.64248734926947,162195104370350,54.43354229342353
07/03/2018,26404314260397000000,73.7462261673926,159862542670820,54.41264396002897
08/03/2018,25419294687284000000,73.69137649359342,162757796020620,54.438538668367705
09/03/2018,25936622060156000000,73.72044309112599,153537371127490,54.35440187046408
10/03/2018,23412150793173000000,73.57270996928848,157297144962900,54.3893045041338
11/03/2018,22432247992701000000,73.51102669716886,158806450673752,54.4030815344604
12/03/2018,26949796287723000000,73.77572686110896,164879186748860,54.457221312968194
13/03/2018,27155548584831000000,73.78669950162326,167032843685860,54.47594382679137
14/03/2018,24377753205787000000,73.63101765835248,162564696348360,54.43682600491025
15/03/2018,23242251614664000000,73.5622023312875,159918918656070,54.413152640894026
16/03/2018,24407095156169000000,73.63275309436722,170114961396090,54.502322048707676
17/03/2018,25683187208089000000,73.70627674114242,170562471648110,54.50611226860519
18/03/2018,24692394313741000000,73.64951922846272,161005049016170,54.422917949969246
19/03/2018,27006132854272000000,73.7787395611406,167236564956020,54.47770233471925
20/03/2018,24112729475393000000,73.6152474614979,164176820036140,54.45106246771803
21/03/2018,24535650153278000000,73.64033199424968,164381524685650,54.4528601783874
22/03/2018,24927533693728000000,73.66319264438249,170863446582270,54.50865580812129
23/03/2018,22730425912518000000,73.5300772103369,175437979264940,54.54677311884497
24/03/2018,26314085296376000000,73.74128773955191,186455155358240,54.6346407061187
25/03/2018,24859563754133000000,73.65925347296132,183020950723810,54.60782082467032
