date,hashrate
2013/12/04,61829596519
2013/12/05,59771979123
2013/12/06,68609119381
2013/12/07,76860189604
2013/12/08,77640020715
2013/12/09,83354733474
2013/12/10,82712581662
2013/12/11,83052441522
2013/12/12,88915398011
2013/12/13,88527269582
2013/12/14,92531467505
2013/12/15,89689428227
2013/12/16,91567502011
2013/12/17,91632522977
2013/12/18,97682623413
2013/12/19,92337641100
2013/12/20,84762795455
2013/12/21,85875761084
2013/12/22,81795483753
2013/12/23,79211242532
2013/12/24,81933996921
2013/12/25,79940371747
2013/12/26,82728682347
2013/12/27,89095664242
2013/12/28,92658027577
2013/12/29,91398935156
2013/12/30,92235249833
2013/12/31,91918219047
2014/01/01,92285183735
2014/01/02,89901921987
2014/01/03,90895430232
2014/01/04,97566822761
2014/01/05,99383367292
2014/01/06,107363663463
2014/01/07,106903469705
2014/01/08,111058978362
2014/01/09,124068509091
2014/01/10,112457719027
2014/01/11,113012696956
2014/01/12,110605675367
2014/01/13,115397705652
2014/01/14,107064191019
2014/01/15,111954506498
2014/01/16,115265108590
2014/01/17,109526035574
2014/01/18,123816104751
2014/01/19,118600100987
2014/01/20,110255132636
2014/01/21,100820754468
2014/01/22,77396525054
2014/01/23,68808802671
2014/01/24,72434496818
2014/01/25,74090325222
2014/01/26,70917694787
2014/01/27,64484776188
2014/01/28,67369836269
2014/01/29,92065996394
2014/01/30,97775523009
2014/01/31,103086703364
2014/02/01,80032646447
2014/02/02,79241074065
2014/02/03,81454133814
2014/02/04,85362133422
2014/02/05,102626326104
2014/02/06,102988548752
2014/02/07,94726171549
2014/02/08,84719951760
2014/02/09,76972710736
2014/02/10,75508456345
2014/02/11,61402777680
2014/02/12,75316020347
2014/02/13,71549252242
2014/02/14,77690650340
2014/02/15,89367601832
2014/02/16,92393287711
2014/02/17,95860074783
2014/02/18,89386676313
2014/02/19,78067978580
2014/02/20,83692117359
2014/02/21,85792646334
2014/02/22,88978807687
2014/02/23,93555718102
2014/02/24,99453137949
2014/02/25,98903791275
2014/02/26,94447432816
2014/02/27,89003689706
2014/02/28,88533359389
2014/03/01,102887562168
2014/03/02,101115412993
2014/03/03,113162509924
2014/03/04,101784565566
2014/03/05,118222527083
2014/03/06,122358364015
2014/03/07,127371248130
2014/03/08,134028019820
2014/03/09,146657041281
2014/03/10,132886258001
2014/03/11,132270957792
2014/03/12,147307602122
2014/03/13,144065807864
2014/03/14,145687789305
2014/03/15,149119551967
2014/03/16,159435391521
2014/03/17,151371284586
2014/03/18,164803780615
2014/03/19,189808249899
2014/03/20,170692900094
2014/03/21,157806986430
2014/03/22,174163358330
2014/03/23,167407936306
2014/03/24,151354684506
2014/03/25,155338121874
2014/03/26,154961877877
2014/03/27,164057040636
2014/03/28,164509426416
2014/03/29,160309512500
2014/03/30,161416377710
2014/03/31,159729100588
2014/04/01,167817022174
2014/04/02,174857424588
2014/04/03,179113676541
2014/04/04,176856391198
2014/04/05,178838879510
2014/04/06,166675975965
2014/04/07,166508342883
2014/04/08,165759942831
2014/04/09,170501213746
2014/04/10,174101511505
2014/04/11,169457295607
2014/04/12,165584088215
2014/04/13,160697990924
2014/04/14,164925080041
2014/04/15,171470309011
2014/04/16,165833909201
2014/04/17,158217921967
2014/04/18,151062910805
2014/04/19,144020963706
2014/04/20,138349920710
2014/04/21,142862541090
2014/04/22,148111208540
2014/04/23,155202744192
2014/04/24,161449492762
2014/04/25,171137618947
2014/04/26,180702976579
2014/04/27,203412255284
2014/04/28,190870030727
2014/04/29,217527385221
2014/04/30,233011122365
2014/05/01,195241046053
2014/05/02,216381521537
2014/05/03,226238948080
2014/05/04,210361586837
2014/05/05,205349852362
2014/05/06,203207570946
2014/05/07,189935427237
2014/05/08,190322329470
2014/05/09,192433271598
2014/05/10,203355650140
2014/05/11,202711793297
2014/05/12,206039652721
2014/05/13,224042899416
2014/05/14,214078207806
2014/05/15,227473866706
2014/05/16,228342846476
2014/05/17,229144840509
2014/05/18,222722497398
2014/05/19,220713715006
2014/05/20,235142393211
2014/05/21,218183366091
2014/05/22,216653780019
2014/05/23,213792464877
2014/05/24,218743528049
2014/05/25,229896788600
2014/05/26,242393265374
2014/05/27,281379152269
2014/05/28,243026046736
2014/05/29,251913688830
2014/05/30,281535093517
2014/05/31,265184777583
2014/06/01,259663506816
2014/06/02,265990785976
2014/06/03,277587984143
2014/06/04,290819362415
2014/06/05,275523418374
2014/06/06,292969486175
