date,hashrate
2011/07/18,12764521445152
2011/07/19,13112859757726
2011/07/20,11750116378809
2011/07/21,12876003147290
2011/07/22,12579647196833
2011/07/23,12559540476431
2011/07/24,13458387509540
2011/07/25,13847003949305
2011/07/26,13954221716778
2011/07/27,15390522857698
2011/07/28,14127271580935
2011/07/29,13364855810650
2011/07/30,12861765935409
2011/07/31,14075327888368
2011/08/01,15842096310146
2011/08/02,14559433135005
2011/08/03,14556485152450
2011/08/04,13489450936027
2011/08/05,12479620989213
2011/08/06,12407099211495
2011/08/07,11789900101244
2011/08/08,12215255728619
2011/08/09,12971177629146
2011/08/10,14984491281517
2011/08/11,13031284178764
2011/08/12,12454646185787
2011/08/13,12861360670046
2011/08/14,11591604512483
2011/08/15,13031539502539
2011/08/16,11874818672025
2011/08/17,12568540206567
2011/08/18,13300595123979
2011/08/19,12387710461318
2011/08/20,12637653163869
2011/08/21,13413601148897
2011/08/22,15660778130177
2011/08/23,15028708295412
2011/08/24,12857305688506
2011/08/25,11934733395416
2011/08/26,13187988684353
2011/08/27,11688276958138
2011/08/28,10613157337988
2011/08/29,11360922372518
2011/08/30,12950432606142
2011/08/31,13624004821159
2011/09/01,12149494692857
2011/09/02,13014899530395
2011/09/03,13091170784016
2011/09/04,11939830695470
2011/09/05,12898460302784
2011/09/06,13299328209570
2011/09/07,13333446416333
2011/09/08,11414109178829
2011/09/09,12295976685838
2011/09/10,13006073432286
2011/09/11,12101990890312
2011/09/12,11044182268397
2011/09/13,12288403954489
2011/09/14,12751589105545
2011/09/15,12732312245136
2011/09/16,11824497895944
2011/09/17,10778926122908
2011/09/18,13706396888138
2011/09/19,12340694763932
2011/09/20,11289503837720
2011/09/21,12848577849110
2011/09/22,12935097664549
2011/09/23,12443847333307
2011/09/24,11031749695044
2011/09/25,12139888298811
2011/09/26,11411456942440
2011/09/27,12007512113992
2011/09/28,11617049288742
2011/09/29,11489304138241
2011/09/30,10840107891514
2011/10/01,10475871392454
2011/10/02,11514190983900
2011/10/03,11224248225074
2011/10/04,11188301493997
2011/10/05,10585148488358
2011/10/06,11939811062136
2011/10/07,10731739025171
2011/10/08,11200681140234
2011/10/09,10060773680777
2011/10/10,10399102265923
2011/10/11,9287646189119
2011/10/12,9497485878753
2011/10/13,8050844768358
2011/10/14,9164410792534
2011/10/15,10426269579270
2011/10/16,9231046888165
2011/10/17,8582189533182
2011/10/18,8839028296260
2011/10/19,9298404689510
2011/10/20,8699026943841
2011/10/21,9383511830114
2011/10/22,7783245286776
2011/10/23,7483147573981
2011/10/24,8233176994070
2011/10/25,9499436804327
2011/10/26,8903623218043
2011/10/27,8194816147015
2011/10/28,7443037362142
2011/10/29,8479624822737
2011/10/30,7485786029163
2011/10/31,7771692964137
2011/11/01,8285970905922
2011/11/02,9009547192825
2011/11/03,8468448535987
2011/11/04,8012288968816
2011/11/05,9161478387266
2011/11/06,8813390250550
2011/11/07,7897978198783
2011/11/08,8317166578735
2011/11/09,9528899559876
2011/11/10,9310478090325
2011/11/11,7650389233473
2011/11/12,7846855854151
2011/11/13,8702201213003
2011/11/14,8486119936358
2011/11/15,9373491245310
2011/11/16,8607924070862
2011/11/17,8265713756443
2011/11/18,7924950059546
2011/11/19,8243707427113
2011/11/20,7136791714536
2011/11/21,8240724826399
2011/11/22,7885034258303
2011/11/23,8132938997327
2011/11/24,7167789283390
2011/11/25,7336233039708
2011/11/26,7434118792312
2011/11/27,7120288394539
2011/11/28,7169714758551
2011/11/29,7760614027021
2011/11/30,7789908290706
2011/12/01,9569981751083
2011/12/02,9438853154711
2011/12/03,7700384931107
2011/12/04,7877766490551
2011/12/05,8297734637718
2011/12/06,8800767859385
2011/12/07,8407766003933
2011/12/08,7966675327209
2011/12/09,8213590952067
2011/12/10,8608091949866
2011/12/11,7701837574291
2011/12/12,7913521030303
2011/12/13,7310608928761
2011/12/14,8313221201579
2011/12/15,7576040611102
2011/12/16,6919204736364
2011/12/17,7627644477967
2011/12/18,8654361416450
2011/12/19,8489630999543
2011/12/20,8349714827392
2011/12/21,8455454101190
2011/12/22,8125988073519
2011/12/23,8674644272977
2011/12/24,8029475289353
2011/12/25,8985560587961
2011/12/26,10451246187473
2011/12/27,9599791056622
2011/12/28,8566670718752
2011/12/29,8742801130529
2011/12/30,7308475294708
2011/12/31,8925402230909
2012/01/01,8632769744614
2012/01/02,8677800594023
2012/01/03,9269422787471
2012/01/04,9194693516720
2012/01/05,8116608879302
2012/01/06,9672789455417
2012/01/07,10244788055441
2012/01/08,9900440581646
2012/01/09,10157232525897
2012/01/10,9455393386776
2012/01/11,9186800938483
2012/01/12,10308671551571
2012/01/13,8463233582060
2012/01/14,9286795222644
2012/01/15,9412458543065
2012/01/16,9503075735368
2012/01/17,10323595583998
2012/01/18,9136981124576
2012/01/19,8384822342850
2012/01/20,8711696871919
2012/01/21,10302126763497
2012/01/22,9677735554517
2012/01/23,10307499465293
2012/01/24,9364495598952
2012/01/25,9871860445055
2012/01/26,8727497395597
2012/01/27,9205400883927
2012/01/28,9608575376859
2012/01/29,10145146976635
2012/01/30,11058295547237
2012/01/31,10736892780245
2012/02/01,9378061169682
2012/02/02,9585341815563
2012/02/03,11042286806122
2012/02/04,10266471262469
2012/02/05,10192606690552
2012/02/06,10068004240283
2012/02/07,9749776568082
2012/02/08,9525860968629
2012/02/09,9621048174330
2012/02/10,10231651427452
2012/02/11,9580227192852
2012/02/12,10839018935202
2012/02/13,10499480524574
2012/02/14,9032928297708
2012/02/15,9175836842096
2012/02/16,9690831383103
2012/02/17,9572078002969
2012/02/18,11210875750074
2012/02/19,11634249321344
2012/02/20,10490490821272
2012/02/21,8797998089116
2012/02/22,10235218642883
2012/02/23,11196993103134
2012/02/24,10041496547264
2012/02/25,11449138222825
2012/02/26,10938348552222
2012/02/27,10493180984394
2012/02/28,10555560099141
2012/02/29,12107868823795
2012/03/01,10885567283444
2012/03/02,10517116179456
2012/03/03,8555363184439
2012/03/04,9529340493358
2012/03/05,10255682876340
2012/03/06,10884474706906
2012/03/07,10734480117509
2012/03/08,11797187746056
2012/03/09,11838622723925
2012/03/10,13057487641783
2012/03/11,10344047691905
2012/03/12,11720930158219
2012/03/13,11951719042899
2012/03/14,11090112626527
2012/03/15,9349504560470
2012/03/16,10369013076018
2012/03/17,12141885878948
2012/03/18,12331327357364
2012/03/19,11674890393552
2012/03/20,11205458843437
2012/03/21,12164176643596
2012/03/22,11780504869104
2012/03/23,10020889508398
2012/03/24,11916729914322
2012/03/25,13057847390742
2012/03/26,11474064654757
2012/03/27,11322175462514
2012/03/28,11488560729017
2012/03/29,11630007710902
2012/03/30,11853824156073
2012/03/31,13172209017301
2012/04/01,12129882470489
2012/04/02,10867881910145
2012/04/03,10284219562568
2012/04/04,11291906375464
